Title,Contributors,Partners ,Description and Result ,Status,Timeline,Target Issue,Topics
Regional Adaption Strategies Development - Delta Region Adaptation Strategies,,"CAI
Delta Farmers’ Institute
BC Blueberry Council, Delta Agricultural Advisory Committee
Corporation of Delta
Delta Farmers’ Institute
BC Greenhouse Growers Association
Pacific Climate Impacts Consortium 
Collaborative for Advanced Landscape Planning 

","clear actions suited to the speci!cs of the
local context, both with respect to anticipated
changes and local capacity and assets",complete,2012/13,,Climate Change and Adaptation
Regional Adaption Strategies Development - Cowichan Region Adaptation Strategies,,"CAI
Cowichan Agricultural Society
CVRD 
Farm Credit Canada
Cowichan Agricultural Society
Cowichan Watershed Board
Economic Development Cowichan
Pacific Climate Impacts Consortium 
Collaborative for Advanced Landscape Planning 

","clear actions suited to the speci!cs of the
local context, both with respect to anticipated
changes and local capacity and assets",complete,2012/13,,Climate Change and Adaptation
Regional Adaption Strategies Development - Peace Region Adaptation Strategies,,"CAI
Peace River Regional Cattlemen’s Association
BC Grain Producers Association
Peace River Regional District
Peace Region Forage Seed Association
","clear actions suited to the speci!cs of the
local context, both with respect to anticipated
changes and local capacity and assets",complete,2012/13,,Climate Change and Adaptation
Regional Adaption Strategies Development - Cariboo Region Adaptation Strategies,,"Cariboo Cattlemen’s Association
Quesnel Cattlemen’s Association
District H Farmers’ Institute
Cariboo Regional District Director of Area B
Cariboo Regional District
Cariboo Growers
Williams Lake Food Policy Council
Cariboo Regional District Director of Area F
Pacific Climate Impacts Consortium
","clear actions suited to the speci!cs of the
local context, both with respect to anticipated
changes and local capacity and assets",complete,2013/14,,Climate Change and Adaptation
Regional Adaption Strategies Implmentation Projects ,,,,,,,Climate Change and Adaptation
Delta,,,,,,,Climate Change and Adaptation
Regional Adaption Strategies Implmentation Projects (Delta) - Agricultural production and economic vulnerabilities associated with coastal flooding in Lower Mainland ,,"Delta, Surrey, Richmond local gov, Delta Farmers Institute, Fraser Basin Council, CALP (UBC) ",strengthened understanding and basis for decision making and action,Phase 1 complete ,2013/14 - 2014/15,,Climate Change and Adaptation
Regional Adaption Strategies Implmentation Projects (Delta) - Flooding preparedness and mitigation pilot project (Phase 1) ,,"Delta, Fraser Basin Council, DFI, CAI","• Improve the level of planning preparedness for flooding at the municipal, agricultural community, and individual producer levels within the Corporation of Delta 
• Provide flooding preparedness planning support for 5-10 Delta producers 
• Strengthen the tools available for producers (potentially across the province) to voluntarily plan and prepare for flooding
• Identify practical measures to increase farm resilience to flooding impacts
",Phase 1 complete,2013/14 - 2014/15,,Climate Change and Adaptation
Regional Adaption Strategies Implmentation Projects (Delta) - Farm-level adaptation: Pilot & demo priorities (Phase 1) ,,"• CAI  • Delta Farmers’ Institute
• Commodity organizations (specifically research program leads)
• Agriculture & Agri-Food Canada
• Post-secondary institutions
","• Identify research, demonstration and pilot priorities
• Build collaborative approaches for project development and implementation
• Strengthen linkages between producer groups and researchers
• Develop implementation options and/or projects to accomplish actions associated with research, demonstration and pilots ",complete,2013/14,,Climate Change and Adaptation
"Regional Adaption Strategies Implmentation Projects (Delta) - Collaborative communications strategy (Phase 1) ($22,000 GF2, $5,000 other)",,"• CAI
• Delta Farmers’ Institute
• Delta Farmland and Wildlife Trust
• Delta Agricultural Society
• Local food security groups (e.g. Earthwise Society)
• BC Agriculture & Food Climate Action Initiative
• Corporation of Delta
• Fraser Basin Council (public benefits to farmland work)
","• Build collaboration between producer groups and other groups in Delta with an interest in agriculture/food security/climate change adaptation 
• Increase public knowledge and understanding of local agriculture and climate change adaptation issues
• Strengthen community support for the agriculture sector in Delta 
",Phase 1 complete,2013/14,,Climate Change and Adaptation
Cowichan,,,,,,,Climate Change and Adaptation
Regional Adaption Strategies Implmentation Projects (Cowichan) - Integrated farm water planning pilot,,"• CAI
• BC Ministry of Environment
• Cowichan Watershed Board
• Cowichan Valley Regional District and Agricultural Advisory Commission
• Agricultural organizations
","• To increase awareness of the potential impacts of climate change on farm-level water management
• To develop a holistic and integrated approach to farm-level water planning that will improve all aspects of water management
• To increase the ability of Cowichan farmers to manage through more variable precipitation, extended dry periods and/or excessive precipitation events
",Phase 1 complete,2013/14,,Climate Change and Adaptation
Regional Adaption Strategies Implmentation Projects (Cowichan) - Collaborative water management (Phase 1),,CAI; CVRD; local agricultural organizations ,"• Increate collaboration between regional partners on water related strategies
• Effectively integrate agricultural climate change and water issues into regional planning and decision-making
• Create specific project plans and develop funding options for priority water-related projects with a particular focus on strategies to:
o Develop collaborative stormwater and drainage management for the agricultural land base
o Identify and fill information gaps regarding Cowichan region water resources
o Expand capacity for water storage and irrigation 
",Phase 1 complete,2013/14,,Climate Change and Adaptation
Regional Adaption Strategies Implmentation Projects (Cowichan) - Business case for regional agriculture extension services ,,"• CAI
• Economic Development Cowichan - CVRD
• Agricultural organizations
• Agricultural Advisory Commission
","• Identify options for sustainable local extension services suitable for the Cowichan context  
• Increase the availability of extension support and expertise in the Cowichan, particularly for new entrants and farm businesses in transition
",Phase 1 complete,2013/14,,Climate Change and Adaptation
Regional Adaption Strategies Implmentation Projects (Cowichan) - Extreme weather events preparedness and mitigation pilot project (Phase 1)  ,,"• CAI
• Cowichan Valley Regional District
• BC Provincial Emergency Preparedness Program
","• Increase knowledge and understanding of vulnerabilities to extreme events for agricultural operations in the Cowichan
• Reduce the vulnerability of agricultural operations to the negative impacts associated with extreme events (e.g. flooding, wind, extreme heat, wildfire)
• Pilot a group approach to planning, preparedness and mitigation for extreme events in agricultural areas
",Phase 1 complete,2013/14,,Climate Change and Adaptation
Regional Adaption Strategies Implmentation Projects (Cowichan) - Options for local agricultural processing and storage ,,"• CAI
• Economic Development Cowichan
• CVRD – Agricultural Advisory Commission
• Agricultural organizations
","• Identify options/solutions for addressing challenges and opportunities facing the value-added food processing industry 
• Develop strategic direction for enhancing processing and storage
• Increase the options/flexibility for Cowichan producers to process and store primary products 
",Phase 1 complete,2013/14,,Climate Change and Adaptation
Peace,,,,,,,Climate Change and Adaptation
Regional Adaption Strategies Implmentation Projects (Peace) - Increasing availability of agriculturally relevant weather data ,,"• CAI
• Agricultural organizations
• BC FLNRO
• BC Hydro
• Ministry of Environment
• Industry (oil & gas, forestry)
","• Identify options for improving access to weather data for agricultural purposes 
• Develop a strategy for increasing availability of weather data for agricultural producers in the Peace
• Increase the quantity and quality of weather data available to support producer decisions (seasonal and short-medium term)
",Phase 1 complete,2013/14,,Climate Change and Adaptation
"Regional Adaption Strategies Implmentation Projects (Peace) - Pilot collaborative monitoring of pests, diseases, weeds, invasive species",,"• CAI
• BC Grain Producers Association
• Peace Region Forage Seed Association
• Peace River Forage Association of BC
• Peace River Regional Cattlemen’s Association
• Agriculture & Agri-Food Canada (AAFC)
","• Determine priority gaps – areas of risk – and issues with respect to monitoring and data processing/sharing 
• Increase availability of data and analysis for the BC Peace regarding the presence of agriculturally significant pests, diseases, weeds
• Improve the ability to evaluate if (and how) the prevalence and distribution of pests, diseases and weeds in the BC Peace is changing and to quickly identify risks to agricultural production
• Improve long-term capacity to track changes occurring in prevalence and distribution of pests
",Phase 1 complete,2013/14,,Climate Change and Adaptation
BC Farm Practices & Climate Change Adaptation series,,CAI,"reports on adaptation practices: conservation tillage, water storage, drainage, shelterbelts, nutrient manangement, management inensive grazing",complete,2012/13,,Climate Change and Adaptation
Development of Farm Adaptation Innovator Fund Program,,CAI,Funding provided for demonstration and piloting of adaptation practices,complete,2013/14,,Climate Change and Adaptation
Energy efficiency pilot projects and an energy efficiency assessment tool for BC farms,,"CAI, LiveSmart, Energy and Mines ",funding provided through LiveSmart for farm energy advisor,complete,2012/13,,Climate Change and Adaptation
Energy efficiency pilot projects and an energy efficiency assessment tool for BC farms,,"CAI, LiveSmart, Energy and Mines ",funding provided through LiveSmart for farm energy advisor,ended,2013/14,,Climate Change and Adaptation
